,id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2,year
47,48,Chennai,2008-05-21,A Kumble,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,14.0,N,,DJ Harper,I Shivram,2008
48,49,Chandigarh,2008-05-23,SE Marsh,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,,Asad Rauf,SJ Davis,2008
49,50,Delhi,2008-05-24,KD Karthik,Feroz Shah Kotla,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,wickets,5.0,N,,BF Bowden,K Hariharan,2008
50,51,Chennai,2008-05-24,JA Morkel,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,10.0,N,,DJ Harper,SL Shastri,2008
51,52,Bengaluru,2008-05-03,P Kumar,M Chinnaswamy Stadium,0,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bengaluru,runs,3.0,N,,BR Doctrove,SL Shastri,2008
52,53,Kolkata,2008-05-25,Umar Gul,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Kolkata Knight Riders,wickets,3.0,N,,SJ Davis,I Shivram,2008
53,54,Jaipur,2008-05-26,Sohail Tanvir,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,wickets,5.0,N,,BF Bowden,K Hariharan,2008
54,55,Hyderabad,2008-05-27,SK Raina,"Rajiv Gandhi International Stadium, Uppal",0,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,7.0,N,,BG Jerling,AM Saheba,2008
55,56,Mumbai,2008-05-30,SR Watson,"Wankhede Stadium, Mumbai",0,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,runs,105.0,N,,BF Bowden,RE Koertzen,2008
56,57,Mumbai,2008-05-31,M Ntini,"Wankhede Stadium, Mumbai",0,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Chennai Super Kings,wickets,9.0,N,,Asad Rauf,DJ Harper,2008
57,58,Mumbai,2008-06-01,YK Pathan,Dr DY Patil Sports Academy,0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,N,,BF Bowden,RE Koertzen,2008
58,59,Cape Town,2009-04-18,SR Tendulkar,Newlands,1,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,runs,19.0,N,,BR Doctrove,K Hariharan,2009
59,60,Cape Town,2009-04-18,R Dravid,Newlands,1,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,75.0,N,,BR Doctrove,RB Tiffin,2009
60,61,Cape Town,2009-04-19,DL Vettori,Newlands,1,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,wickets,10.0,N,D/L,MR Benson,SD Ranade,2009
61,62,Cape Town,2009-04-19,RP Singh,Newlands,1,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,wickets,8.0,N,,MR Benson,BR Doctrove,2009
62,63,Port Elizabeth,2009-04-20,M Muralitharan,St George's Park,1,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,92.0,N,,BG Jerling,SJA Taufel,2009
63,64,Durban,2009-04-21,CH Gayle,Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,runs,11.0,N,D/L,DJ Harper,SD Ranade,2009
64,65,Cape Town,2009-04-22,AC Gilchrist,Newlands,1,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,24.0,N,,M Erasmus,AM Saheba,2009
65,66,Durban,2009-04-23,AB de Villiers,Kingsmead,1,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,runs,9.0,N,,BR Doctrove,SJA Taufel,2009
66,67,Cape Town,2009-04-23,YK Pathan,Newlands,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,tie,,Y,,MR Benson,M Erasmus,2009
67,68,Durban,2009-04-24,RS Bopara,Kingsmead,1,Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,bat,Kings XI Punjab,wickets,7.0,N,,BR Doctrove,TH Wijewardene,2009
68,69,Durban,2009-04-25,PP Ojha,Kingsmead,1,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,12.0,N,,HDPK Dharmasena,SJA Taufel,2009
69,70,Port Elizabeth,2009-04-26,TM Dilshan,St George's Park,1,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Delhi Capitals,wickets,6.0,N,,S Asnani,BG Jerling,2009
70,71,Cape Town,2009-04-26,KC Sangakkara,Newlands,1,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,runs,27.0,N,,M Erasmus,K Hariharan,2009
71,72,Durban,2009-04-27,HH Gibbs,Kingsmead,1,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,N,,IL Howell,TH Wijewardene,2009
72,73,Port Elizabeth,2009-04-27,SR Tendulkar,St George's Park,1,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,92.0,N,,BG Jerling,RB Tiffin,2009
73,74,Centurion,2009-04-28,YK Pathan,SuperSport Park,1,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,wickets,5.0,N,,GAV Baxter,RE Koertzen,2009
74,75,Durban,2009-04-29,MV Boucher,Kingsmead,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bengaluru,wickets,5.0,N,,MR Benson,TH Wijewardene,2009
75,76,Durban,2009-04-29,KC Sangakkara,Kingsmead,1,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,runs,3.0,N,,MR Benson,SL Shastri,2009
76,77,Centurion,2009-04-30,DP Nannes,SuperSport Park,1,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,N,,GAV Baxter,AM Saheba,2009
77,78,Centurion,2009-04-30,SK Raina,SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,38.0,N,,GAV Baxter,RE Koertzen,2009
78,79,East London,2009-05-01,JP Duminy,Buffalo Park,1,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,N,,M Erasmus,SK Tarapore,2009
79,80,Durban,2009-05-01,Yuvraj Singh,Kingsmead,1,Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,8.0,N,,HDPK Dharmasena,S Ravi,2009
80,81,Port Elizabeth,2009-05-02,YK Pathan,St George's Park,1,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,3.0,N,,S Asnani,BG Jerling,2009
81,82,Johannesburg,2009-05-02,SB Jakati,New Wanderers Stadium,1,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,18.0,N,,DJ Harper,RE Koertzen,2009
82,83,Port Elizabeth,2009-05-03,DPMD Jayawardene,St George's Park,1,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kings XI Punjab,wickets,6.0,N,,S Asnani,MR Benson,2009
83,84,Johannesburg,2009-05-03,JH Kallis,New Wanderers Stadium,1,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,9.0,N,,RE Koertzen,TH Wijewardene,2009
84,85,East London,2009-05-04,MS Dhoni,Buffalo Park,1,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,78.0,N,,BR Doctrove,M Erasmus,2009
85,86,Durban,2009-05-05,GC Smith,Kingsmead,1,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,78.0,N,,SS Hazare,IL Howell,2009
86,87,Durban,2009-05-05,G Gambhir,Kingsmead,1,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,wickets,9.0,N,,GAV Baxter,IL Howell,2009
87,88,Centurion,2009-05-06,RG Sharma,SuperSport Park,1,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,19.0,N,,MR Benson,HDPK Dharmasena,2009
88,89,Centurion,2009-05-07,A Singh,SuperSport Park,1,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,,K Hariharan,DJ Harper,2009
89,90,Centurion,2009-05-07,ML Hayden,SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,12.0,N,D/L,DJ Harper,TH Wijewardene,2009
90,91,East London,2009-05-08,A Nehra,Buffalo Park,1,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,wickets,7.0,N,,M Erasmus,SK Tarapore,2009
91,92,Kimberley,2009-05-09,DPMD Jayawardene,De Beers Diamond Oval,1,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,3.0,N,,GAV Baxter,AM Saheba,2009
92,93,Kimberley,2009-05-09,S Badrinath,De Beers Diamond Oval,1,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,7.0,N,,GAV Baxter,HDPK Dharmasena,2009
93,94,Port Elizabeth,2009-05-10,JP Duminy,St George's Park,1,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,16.0,N,,BR Doctrove,BG Jerling,2009
94,95,Johannesburg,2009-05-10,A Mishra,New Wanderers Stadium,1,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,wickets,7.0,N,,SL Shastri,RB Tiffin,2009
95,96,Kimberley,2009-05-11,DR Smith,De Beers Diamond Oval,1,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,53.0,N,,GAV Baxter,HDPK Dharmasena,2009
96,97,Centurion,2009-05-12,LRPL Taylor,SuperSport Park,1,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,6.0,N,,M Erasmus,SS Hazare,2009
97,98,Centurion,2009-05-12,Harbhajan Singh,SuperSport Park,1,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,wickets,8.0,N,,SS Hazare,RE Koertzen,2009
98,99,Durban,2009-05-13,R Bhatia,Kingsmead,1,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,runs,12.0,N,,DJ Harper,SL Shastri,2009
99,100,Durban,2009-05-14,LRPL Taylor,Kingsmead,1,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Royal Challengers Bengaluru,wickets,2.0,N,,BR Doctrove,DJ Harper,2009
100,101,Durban,2009-05-14,SK Warne,Kingsmead,1,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,2.0,N,,BR Doctrove,DJ Harper,2009
101,102,Bloemfontein,2009-05-15,B Lee,OUTsurance Oval,1,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,N,,HDPK Dharmasena,IL Howell,2009
102,103,Port Elizabeth,2009-05-16,ML Hayden,St George's Park,1,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,wickets,7.0,N,,SK Tarapore,SJA Taufel,2009
103,104,Johannesburg,2009-05-16,RG Sharma,New Wanderers Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,N,,RE Koertzen,S Ravi,2009
104,105,Johannesburg,2009-05-17,Yuvraj Singh,New Wanderers Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,field,Kings XI Punjab,runs,1.0,N,,S Ravi,RB Tiffin,2009
105,106,Bloemfontein,2009-05-17,AB de Villiers,OUTsurance Oval,1,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,14.0,N,,SS Hazare,IL Howell,2009
106,107,Centurion,2009-05-18,BJ Hodge,SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,7.0,N,,SJA Taufel,RB Tiffin,2009
107,108,Johannesburg,2009-05-19,JH Kallis,New Wanderers Stadium,1,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,bat,Royal Challengers Bengaluru,wickets,7.0,N,,IL Howell,RB Tiffin,2009
108,109,Durban,2009-05-20,LR Shukla,Kingsmead,1,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4.0,N,,BG Jerling,SJA Taufel,2009
109,110,Durban,2009-05-20,M Muralitharan,Kingsmead,1,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,N,,BG Jerling,SJA Taufel,2009
110,111,Centurion,2009-05-21,V Sehwag,SuperSport Park,1,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,wickets,4.0,N,,IL Howell,S Ravi,2009
111,112,Centurion,2009-05-21,MK Pandey,SuperSport Park,1,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,12.0,N,,IL Howell,S Ravi,2009
112,113,Centurion,2009-05-22,AC Gilchrist,SuperSport Park,1,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,N,,BR Doctrove,DJ Harper,2009
113,114,Johannesburg,2009-05-23,MK Pandey,New Wanderers Stadium,1,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,6.0,N,,RE Koertzen,SJA Taufel,2009
114,115,Johannesburg,2009-05-24,A Kumble,New Wanderers Stadium,1,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,runs,6.0,N,,RE Koertzen,SJA Taufel,2009
115,116,Mumbai,2010-03-12,AD Mathews,Dr DY Patil Sports Academy,0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,11.0,N,,RE Koertzen,RB Tiffin,2010
